customer_id,name,email,phone,city,join_date,segment,source_file,source_path,ingestion_time
C00001,Zelda Oktaviani,yuliartiomar@example.net,+62-56-194-9170,Tegal,2025-05-22,Regular,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00002,"Dinda Uwais, S.E.",lnuraini@example.org,+62 (042) 929 6298,Sawahlunto,2026-05-29,Gold,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00003,"R. Kezia Firgantoro, S.Ked",gandewasiregar@example.com,+62 (508) 765 2165,Binjai,2025-08-23,Platinum,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00004,T. Koko Maheswara,najmudinjindra@example.net,+62-43-089-4547,Tangerang Selatan,2026-01-24,Silver,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00005,Parman Nashiruddin,jail80@example.com,+62 (91) 884 2316,Kota Administrasi Jakarta Selatan,2025-06-03,Silver,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00006,Cici Kuswandari,,(0838) 648 9046,Kota Administrasi Jakarta Utara,2024-08-29,Silver,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00007,Chelsea Saragih,pkuswoyo@example.org,+62 (0748) 055 4849,Banjarbaru,2026-04-08,Silver,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00008,Ian Permadi,luhung47@example.com,+62-923-622-1014,Cimahi,2025-08-03,Regular,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00009,R. Umaya Wahyudin,llazuardi@example.com,0813929358,Malang,2026-06-05,Gold,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00010,"Dr. Daru Setiawan, S.H.",sari06@example.net,+62 (38) 137 8481,Pematangsiantar,2024-12-22,Gold,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00011,R. Syahrini Suartini,gangsa48@example.com,(0621) 853 7141,Bandar Lampung,2025-11-03,Gold,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00012,Kayla Wahyudin,pertiwiwardi@example.org,(013) 495 1025,Ambon,2025-06-19,Regular,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00013,Dr. Malika Sudiati,ajeng46@example.com,+62-037-170-4716,Salatiga,2025-06-03,Gold,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00014,Agnes Nasyidah,samsulsaptono@example.net,+62 (0418) 861 8839,Tangerang Selatan,2025-01-06,Regular,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00015,"Talia Yuliarti, M.Farm",ramadancemeti@example.net,+62-07-843-3854,Sabang,2025-08-04,Regular,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00016,Icha Uwais,pwidiastuti@example.net,+62 (382) 852-4160,Kota Administrasi Jakarta Selatan,2026-01-29,Regular,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00017,dr. Tami Mayasari,tri73@example.net,+62 (55) 572 9127,Lubuklinggau,2026-05-14,Silver,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00018,Ayu Sinaga,eka35@example.com,+62 (990) 962-6777,Bandung,2025-09-09,Platinum,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00019,Hartana Jailani,shaniapradana@example.com,+62 (880) 316-9494,Banjarbaru,2024-08-14,Gold,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00020,"Galiono Novitasari, M.M.",marasanggriawan@example.com,+62 (0494) 607 2008,Kupang,2025-06-26,Gold,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00021,Iriana Ramadan,hutasoitgalih@example.com,+62-947-409-5704,Tasikmalaya,2025-09-03,Platinum,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00022,R.M. Sabri Hasanah,aris05@example.org,+62 (637) 448 9607,Singkawang,2024-07-09,Regular,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
C00023,"Rika Handayani, M.M.",jaka49@example.com,+62-018-337-4883,Cirebon,2026-04-29,Gold,customers_20260709_085003.csv,/opt/airflow/data/raw/ages/customers/customers_20260709_085003.csv,2026-07-09 09:36:47
